TIMESTAMP, EVENT, PSI_SOME_AVG10, PSI_SOME_AVG60, PSI_FULL_AVG10, PSI_FULL_AVG60, MEM_AVAIL_KB, COND_MEM_PRESSURE, COND_PSI_PRESSURE
2026-03-13T06:42:28.878Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15327688, False, False
2026-03-13T06:42:31.042Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15318760, False, False
2026-03-13T06:42:33.208Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15330624, False, False
2026-03-13T06:42:35.373Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15329728, False, False
2026-03-13T06:42:37.542Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15327464, False, False
2026-03-13T06:42:39.709Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15329352, False, False
2026-03-13T06:42:41.877Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15331416, False, False
2026-03-13T06:42:44.044Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15327412, False, False
2026-03-13T06:42:46.209Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15299576, False, False
2026-03-13T06:42:48.389Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15316608, False, False
2026-03-13T06:42:50.569Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15323068, False, False
2026-03-13T06:42:52.737Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15326016, False, False
2026-03-13T06:42:54.900Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15331644, False, False
2026-03-13T06:42:57.063Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15322016, False, False
2026-03-13T06:42:59.228Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15331904, False, False
2026-03-13T06:43:01.395Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15332392, False, False
2026-03-13T06:43:03.562Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15331660, False, False
2026-03-13T06:43:05.725Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15305904, False, False
2026-03-13T06:43:07.890Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15330572, False, False
2026-03-13T06:43:10.057Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15316972, False, False
2026-03-13T06:43:12.225Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15323572, False, False
2026-03-13T06:43:14.390Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15329592, False, False
2026-03-13T06:43:16.563Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15302544, False, False
2026-03-13T06:43:18.751Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15325308, False, False
2026-03-13T06:43:20.924Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15329248, False, False
2026-03-13T06:43:23.116Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15320648, False, False
2026-03-13T06:43:25.283Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15329704, False, False
2026-03-13T06:43:27.450Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15313216, False, False
2026-03-13T06:43:29.616Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15331516, False, False
2026-03-13T06:43:31.788Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15322000, False, False
2026-03-13T06:43:33.954Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15320224, False, False
2026-03-13T06:43:36.118Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15333336, False, False
2026-03-13T06:43:38.280Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15323452, False, False
2026-03-13T06:43:40.442Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15323796, False, False
2026-03-13T06:43:42.607Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15327656, False, False
2026-03-13T06:43:44.775Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15330504, False, False
2026-03-13T06:43:46.950Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15305816, False, False
2026-03-13T06:43:49.133Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15329220, False, False
2026-03-13T06:43:51.311Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15325368, False, False
2026-03-13T06:43:53.475Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15331440, False, False
